Fault ID,Fault Type,"Fault Location (Latitude, Longitude)",Voltage (V),Current (A),Power Load (MW),Temperature (°C),Wind Speed (km/h),Weather Condition,Maintenance Status,Component Health,Duration of Fault (hrs),Down time (hrs)
F001,Line Breakage,"(34.0522, -118.2437)",2200,250,50,25,20,Clear,Scheduled,Normal,2.0,1.0
F002,Transformer Failure,"(34.056, -118.245)",1800,180,45,28,15,Rainy,Completed,Faulty,3.0,5.0
F003,Overheating,"(34.0525, -118.244)",2100,230,55,35,25,Windstorm,Pending,Overheated,4.0,6.0
F004,Line Breakage,"(34.055, -118.242)",2050,240,48,23,10,Clear,Completed,Normal,2.5,3.0
F005,Transformer Failure,"(34.0545, -118.243)",1900,190,50,30,18,Snowy,Scheduled,Faulty,3.5,4.0
F006,Overheating,"(34.05, -118.24)",2150,220,52,32,22,Thunderstorm,Pending,Overheated,5.0,7.0
F007,Line Breakage,"(34.9449, -118.9839)",1994,233,51,23,21,Snowy,Completed,Normal,3.7,6.1
F008,Transformer Failure,"(34.2294, -118.2988)",2133,229,52,20,18,Snowy,Scheduled,Normal,5.4,2.1
F009,Line Breakage,"(34.1279, -118.8442)",2155,240,45,21,29,Rainy,Pending,Overheated,3.2,4.7
F010,Line Breakage,"(34.4192, -118.8254)",2065,199,55,25,21,Clear,Scheduled,Normal,4.0,2.8
F011,Overheating,"(34.3732, -118.1586)",2118,221,45,20,20,Clear,Completed,Normal,4.9,1.9
F012,Transformer Failure,"(34.0465, -118.623)",2106,247,47,25,13,Clear,Completed,Normal,2.4,6.9
F013,Line Breakage,"(34.9687, -118.5356)",2012,248,52,24,29,Clear,Completed,Faulty,3.9,6.4
F014,Line Breakage,"(34.3229, -118.46)",2289,192,52,35,28,Rainy,Scheduled,Normal,4.1,5.8
F015,Line Breakage,"(34.2256, -118.9178)",1848,231,49,39,13,Rainy,Scheduled,Faulty,2.7,5.0
F016,Transformer Failure,"(34.7105, -118.5379)",2102,246,53,38,18,Rainy,Completed,Faulty,3.5,1.9
F017,Overheating,"(34.9346, -118.9658)",2263,229,55,21,16,Rainy,Scheduled,Normal,4.5,6.0
F018,Line Breakage,"(34.1619, -118.6775)",2092,241,52,31,16,Thunderstorm,Completed,Faulty,6.0,3.7
F019,Transformer Failure,"(34.5459, -118.8822)",1943,245,50,30,15,Snowy,Completed,Faulty,5.1,3.7
F020,Line Breakage,"(34.668, -118.6576)",2065,213,46,31,23,Clear,Pending,Normal,2.4,6.9
F021,Line Breakage,"(34.1203, -118.2873)",1864,224,49,34,23,Thunderstorm,Scheduled,Overheated,2.7,5.9
F022,Overheating,"(34.1949, -118.16)",1913,182,48,31,26,Thunderstorm,Scheduled,Overheated,5.4,4.2
F023,Overheating,"(34.3627, -118.7696)",2284,247,47,31,15,Clear,Pending,Normal,4.5,6.2
F024,Line Breakage,"(34.8432, -118.2489)",1877,249,54,33,16,Snowy,Scheduled,Faulty,3.2,6.4
F025,Transformer Failure,"(34.8937, -118.532)",1869,218,45,22,18,Thunderstorm,Pending,Faulty,2.8,5.4
F026,Overheating,"(34.9593, -118.9408)",2010,197,47,35,15,Rainy,Completed,Normal,4.6,3.3
F027,Line Breakage,"(34.2486, -118.6496)",1915,215,47,32,13,Thunderstorm,Pending,Normal,2.8,1.9
F028,Transformer Failure,"(34.7606, -118.9892)",1860,246,49,36,13,Thunderstorm,Completed,Normal,4.6,2.8
